"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"73","Brandon Marshall","NYG","WR34","8","42","140","76.1","17.3","69.0","-4.0"
"74","Tyler Eifert","CIN","TE7","6","50","131","76.6","15.2","73.0","-1.0"
"75","Mike Gillislee","NE","RB28","9","2","128","77.8","19.7","71.0","-4.0"
"76","Theo Riddick","DET","RB29","7","41","210","79.7","23.5","80.0","+4.0"
"77","Donte Moncrief","IND","WR35","11","32","128","81.4","16.9","78.0","+1.0"
"78","Kirk Cousins","WAS","QB7","5","50","152","80.2","19.9","86.0","+8.0"
"79","Jeremy Maclin","BAL","WR36","10","43","166","82.6","20.0","89.0","+10.0"
"80","Delanie Walker","TEN","TE8","8","50","121","86.7","15.6","76.0","-4.0"
"81","Paul Perkins","NYG","RB30","8","41","146","87.5","20.4","75.0","-6.0"
"82","Zach Ertz","PHI","TE9","10","50","138","88.0","15.6","87.0","+5.0"
"83","Marcus Mariota","TEN","QB8","8","58","177","85.7","22.4","97.0","+14.0"
"84","DeSean Jackson","TB","WR37","11","62","133","89.2","13.9","92.0","+8.0"
"85","Cameron Meredith","CHI","WR38","9","55","172","87.9","17.5","94.0","+9.0"
"86","Jameis Winston","TB","QB9","11","54","149","88.2","18.5","81.0","-5.0"
"87","Cam Newton","CAR","QB10","11","54","163","88.5","19.2","95.0","+8.0"
"88","Adrian Peterson","NO","RB31","5","42","211","91.8","24.8","79.0","-9.0"
"89","Devante Parker","MIA","WR39","11","49","130","93.3","17.0","82.0","-7.0"
"90","Eric Decker","TEN","WR40","8","47","134","93.4","16.4","93.0","+3.0"
"91","Terrance West","BAL","RB32","10","28","195","93.7","25.3","101.0","+10.0"
"92","Doug Martin","TB","RB33","11","41","170","96.0","27.1","88.0","-4.0"
"93","Tyrell Williams","LAC","WR41","9","48","139","94.6","19.5","96.0","+3.0"
"94","Duke Johnson","CLE","RB34","9","44","193","95.2","22.8","98.0","+4.0"
"95","Martellus Bennett","GB","TE10","8","61","138","98.5","16.7","91.0","-4.0"
"96","LeGarrette Blount","PHI","RB35","10","46","164","99.1","22.6","83.0","-13.0"
"97","Eddie Lacy","SEA","RB36","6","42","220","99.9","28.2","85.0","-12.0"
"98","Kenny Britt","CLE","WR42","9","70","147","100.1","16.1","106.0","+8.0"
"99","Derek Carr","OAK","QB11","10","58","147","100.8","18.8","84.0","-15.0"
"100","Eric Ebron","DET","TE11","7","57","142","102.8","17.4","118.0","+18.0"
"101","Randall Cobb","GB","WR43","8","54","170","100.3","16.7","99.0","-2.0"
"102","Ben Roethlisberger","PIT","QB12","9","54","176","100.5","23.2","104.0","+2.0"
"103","Jordan Matthews","BUF","WR44","6","52","161","103.2","21.1","116.0","+13.0"
"104","C.J. Prosise","SEA","RB37","6","64","192","105.4","22.8","115.0","+11.0"
"105","Adam Thielen","MIN","WR45","9","76","163","106.1","16.5","105.0","0.0"
"106","James White","NE","RB38","9","56","180","105.2","23.2","108.0","+2.0"
"107","Dak Prescott","DAL","QB13","6","71","174","107.3","19.2","114.0","+7.0"
"108","Mike Wallace","BAL","WR46","10","73","201","108.8","19.8","113.0","+5.0"
"109","Philip Rivers","LAC","QB14","9","71","179","110.1","20.2","121.0","+12.0"
"110","Kareem Hunt","KC","RB39","10","1","164","111.0","26.1","102.0","-8.0"
"111","Jack Doyle","IND","TE12","11","51","248","112.9","21.7","125.0","+14.0"
"112","John Brown","ARI","WR47","8","68","188","110.5","24.7","109.0","-3.0"
"113","Robert Kelley","WAS","RB40","5","52","178","111.9","25.1","100.0","-13.0"
"114","Corey Coleman","CLE","WR48","9","76","186","112.0","19.8","107.0","-7.0"
"115","Hunter Henry","LAC","TE13","9","66","164","115.0","18.0","103.0","-12.0"
"116","Matthew Stafford","DET","QB15","7","58","182","111.7","22.5","111.0","-5.0"
"117","Matt Forte","NYJ","RB41","11","64","192","114.3","23.2","117.0","0.0"
