"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"321","Aldrick Robinson","SF","WR107","11","190","285","256.8","38.9","",""
"322","Lance Dunbar","LAR","RB93","8","193","295","259.5","29.4","",""
"323","Chris Carson","SEA","RB94","6","192","241","222.7","21.8","352.0","+29.0"
"324","Charcandrick West","KC","RB95","10","192","318","264.5","30.7","316.0","-8.0"
"325","Matt Jones","WAS","RB96","5","193","293","271.1","22.7","318.0","-7.0"
"326","Chicago Bears","","DST26","9","196","237","216.5","20.5","320.0","-6.0"
"327","DeAngelo Williams","FA","RB97","","196","283","254.0","41.0","312.0","-15.0"
"328","Brock Osweiler","CLE","QB36","9","197","316","237.8","43.9","341.0","+13.0"
"329","Cody Kessler","CLE","QB37","9","197","315","249.6","27.3","342.0","+13.0"
"330","Maxx Williams","BAL","TE42","10","198","264","236.8","21.7","",""
"331","Paxton Lynch","DEN","QB38","5","198","254","238.3","23.3","343.0","+12.0"
"332","Dallas Cowboys","","DST27","6","199","257","238.8","19.8","315.0","-17.0"
"333","Donnel Pumphrey","PHI","RB98","10","199","290","254.6","28.0","255.0","-78.0"
"334","Lance Kendricks","GB","TE43","8","201","252","219.3","23.2","",""
"335","Leonte Carroo","MIA","WR108","11","202","245","227.3","18.4","",""
"336","Dorial Green-Beckham","FA","WR109","","222","241","231.5","9.5","348.0","+12.0"
"337","Amara Darboh","SEA","WR110","6","207","262","234.5","27.5","",""
"338","Dede Westbrook","JAC","WR111","8","202","279","235.6","27.2","",""
"339","Chris Godwin","TB","WR112","11","206","279","238.2","29.1","226.0","-113.0"
"340","Malcolm Brown","LAR","RB99","8","211","270","239.5","22.4","",""
"341","Ryan Switzer","DAL","WR113","6","210","255","239.7","21.0","",""
"342","New Orleans Saints","","DST28","5","236","245","240.0","3.7","",""
"343","Markus Wheaton","CHI","WR114","9","206","290","240.6","31.6","",""
"344","Gary Barnidge","FA","TE44","","205","269","243.6","21.0","",""
"345","Detroit Lions","","DST29","7","216","302","244.8","20.6","325.0","-20.0"
"346","Josh Lambo","LAC","K22","9","226","322","245.9","19.8","309.0","-37.0"
"347","Phillip Dorsett","IND","WR115","11","212","299","246.3","24.9","329.0","-18.0"
"348","Damien Williams","MIA","RB100","11","214","289","247.4","20.7","336.0","-12.0"
"349","Rashard Higgins","CLE","WR116","9","236","258","247.7","9.0","",""
"350","Andre Holmes","BUF","WR117","6","217","279","248.4","23.5","",""
"351","Colin Kaepernick","FA","QB39","","234","256","248.7","10.4","",""
"352","Ryan Griffin","HOU","TE45","7","208","271","248.9","18.3","",""
"353","Cordarrelle Patterson","OAK","WR118","10","232","278","249.0","20.6","",""
"354","Pharoh Cooper","LAR","WR119","8","218","281","249.7","25.7","",""
"355","Roberto Aguayo","CHI","K23","9","225","304","249.8","27.8","332.0","-23.0"
"356","Mike Nugent","NYG","K24","8","227","320","251.4","30.5","",""
"357","George Kittle","SF","TE46","11","224","282","251.6","16.4","",""
"358","Kamar Aiken","IND","WR120","11","209","292","251.7","25.1","287.0","-71.0"
"359","Josh Hill","NO","TE47","5","220","298","251.8","25.4","",""
"360","Jaelen Strong","HOU","WR121","7","202","309","251.8","29.1","",""
"361","Ryan Succop","TEN","K25","8","227","269","252.8","16.1","330.0","-31.0"
"362","Jake Butt","DEN","TE48","5","247","261","254.0","7.0","",""
"363","Adam Shaheen","CHI","TE49","9","242","269","255.3","11.3","299.0","-64.0"
"364","Indianapolis Colts","","DST30","11","247","264","255.5","8.5","322.0","-42.0"
"365","Albert Wilson","KC","WR122","10","214","286","255.6","20.1","",""
"366","Mychal Rivera","JAC","TE50","8","239","274","256.5","17.5","",""
"367","Will Tye","NYG","TE51","8","202","321","256.6","35.0","",""
"368","Brian Quick","WAS","WR123","5","245","274","258.0","12.0","",""
"369","Danny Amendola","NE","WR124","9","257","259","258.0","1.0","339.0","-30.0"
"370","Rico Gathers","DAL","TE52","6","250","267","258.5","8.5","304.0","-66.0"
"371","Cameron Artis-Payne","CAR","RB101","11","229","276","258.7","21.1","344.0","-27.0"
"372","Robert Griffin","FA","QB40","","258","260","259.0","1.0","",""
"373","Geronimo Allison","GB","WR125","8","239","281","260.7","17.2","263.0","-110.0"
"374","Rashad Jennings","FA","RB102","","226","285","262.3","26.0","",""
"375","Brandon Coleman","NO","WR126","5","226","312","262.8","31.1","256.0","-119.0"
"376","Matt Moore","MIA","QB41","11","244","289","266.5","22.5","",""
"377","Dwayne Washington","DET","RB103","7","230","283","267.8","20.5","349.0","-28.0"
"378","Adam Humphries","TB","WR127","11","221","303","268.2","26.6","340.0","-38.0"
"379","Jermaine Kearse","SEA","WR128","6","234","296","269.4","19.9","305.0","-74.0"
"380","Clive Walford","OAK","TE53","10","260","294","273.3","14.8","",""
"381","Victor Cruz","CHI","WR129","9","253","301","277.0","24.0","333.0","-48.0"
"382","Sammie Coates","PIT","WR130","9","259","306","277.8","17.3","",""
"383","Fitzgerald Toussaint","PIT","RB104","9","277","283","280.0","3.0","",""
"384","Elijah McGuire","NYJ","RB105","11","277","283","280.0","3.0","",""
"385","Josh Brown","FA","K26","","239","324","281.5","42.5","",""
"386","Dan Carpenter","FA","K27","","242","325","283.5","41.5","",""
