1.,(RB1),Adrian,Peterson,MIN,5,
81.,(WR34),Ryan,Broyles,DET,9,
161.,(WR61),Nate,Washington,TEN,8,
241.,(RB62),Chris,Ogbonnaya,CLE,10,
2.,(RB2),Arian,Foster,HOU,8,
82.,(RB30),DeAngelo,Williams,CAR,4,
162.,(RB47),Roy,Helu,WAS,5,
242.,(K20),Shaun,Suisham,PIT,5,
3.,(RB3),Ray,Rice,BAL,8,
83.,(WR35),Kendall,Wright,TEN,8,
163.,(TE16),Fred,Davis,WAS,5,
243.,(WR88),Terrance,Williams,DAL,11,
4.,(RB4),Doug,Martin,TB,5,
84.,(RB31),Rashard,Mendenhall,ARI,9,
164.,(WR62),Jason,Avant,PHI,12,
244.,(RB63),Jonathan,Stewart,CAR,4,
5.,(RB5),Jamaal,Charles,KC,10,
85.,(WR36),T.Y.,Hilton,IND,8,
165.,(WR63),Davone,Bess,CLE,10,
245.,(WR89),Michael,Crabtree,SF,9,
6.,(RB6),Trent,Richardson,CLE,10,
86.,(WR37),Lance,Moore,NO,7,
166.,(TE17),Dwayne,Allen,IND,8,
246.,(QB26),Brandon,Weeden,CLE,10,
7.,(RB7),C.J.,Spiller,BUF,12,
87.,(WR38),Emmanuel,Sanders,PIT,5,
167.,(RB48),Ronnie,Hillman,DEN,9,
247.,(TE33),Luke,Stocker,TB,5,
8.,(RB8),LeSean,McCoy,PHI,12,
88.,(WR39),Miles,Austin,DAL,11,
168.,(QB20),Sam,Bradford,STL,11,
248.,(K21),Rob,Bironas,TEN,8,
9.,(QB1),Aaron,Rodgers,GB,4,
89.,(WR40),Chris,Givens,STL,11,
169.,(WR64),Donnie,Avery,KC,10,
249.,(DEF17),Falcons,D/ST,ATL,6,
10.,(WR1),Calvin,Johnson,DET,9,
90.,(RB32),BenJarvus,Green-Ellis,CIN,12,
170.,(WR65),Dexter,McCluster,KC,10,
250.,(WR90),Percy,Harvin,SEA,12,
11.,(RB9),Marshawn,Lynch,SEA,12,
91.,(WR41),Denarius,Moore,OAK,7,
171.,(TE18),Heath,Miller,PIT,5,
251.,(RB64),Bernard,Pierce,BAL,8,
12.,(QB2),Drew,Brees,NO,7,
92.,(WR42),Alshon,Jeffery,CHI,8,
172.,(WR66),Santana,Moss,WAS,5,
252.,(TE34),Zach,Sudfeld,NE,10,
13.,(WR2),Brandon,Marshall,CHI,8,
93.,(WR43),Tavon,Austin,STL,11,
173.,(QB21),Ryan,Tannehill,MIA,6,
253.,(K22),Rian,Lindell,TB,5,
14.,(RB10),Steven,Jackson,ATL,6,
94.,(RB33),Chris,Ivory,NYJ,10,
174.,(RB49),Mike,Goodson,NYJ,10,
254.,(WR91),Markus,Wheaton,PIT,5,
15.,(WR3),Dez,Bryant,DAL,11,
95.,(WR44),Josh,Gordon,CLE,10,
175.,(WR67),Robert,Woods,BUF,12,
255.,(K23),Graham,Gano,CAR,4,
16.,(RB11),Darren,Sproles,NO,7,
96.,(WR45),Vincent,Brown,SD,8,
176.,(TE19),Julius,Thomas,DEN,9,
256.,(WR92),Stephen,Hill,NYJ,10,
17.,(QB3),Peyton,Manning,DEN,9,
97.,(WR46),Golden,Tate,SEA,12,
177.,(TE20),Marcedes,Lewis,JAC,9,
257.,(DEF18),Browns,D/ST,CLE,10,
18.,(WR4),A.J.,Green,CIN,12,
98.,(QB13),Eli,Manning,NYG,9,
178.,(WR68),Aaron,Dobson,NE,10,
258.,(TE35),Anthony,Fasano,KC,10,
19.,(RB12),Reggie,Bush,DET,9,
99.,(RB34),Marcel,Reece,OAK,7,
179.,(RB50),Kendall,Hunter,SF,9,
259.,(QB27),Jake,Locker,TEN,8,
20.,(RB13),Matt,Forte,CHI,8,
100.,(WR47),Rueben,Randle,NYG,9,
180.,(WR69),Darrius,Heyward-Bey,IND,8,
260.,(RB65),Ronnie,Brown,SD,8,
21.,(QB4),Tom,Brady,NE,10,
101.,(DEF1),Seahawks,D/ST,SEA,12,
181.,(TE21),Jermaine,Gresham,CIN,12,
261.,(K24),Kai,Forbath,WAS,5,
22.,(RB14),Alfred,Morris,WAS,5,
102.,(TE7),Greg,Olsen,CAR,4,
182.,(RB51),Bilal,Powell,NYJ,10,
262.,(TE36),Garrett,Graham,HOU,8,
